player1,player2,proba
capoch,daut,0.44
capoch,dogao,0.6
capoch,jordan_aoe,0.33
capoch,kingstone,0.75
capoch,mbl,0.6
capoch,theviper,0.4285
capoch,villese,0.5
capoch,accm,0.40
capoch,daniel,0.6
capoch,hera,0.35
capoch,liereyy,0.5
capoch,sitaux,0.3
capoch,tatoh,0.16
capoch,valas,0.3
capoch,yo,0.25
daut,dogao,0.62
daut,jordan_aoe,0.46
daut,kingstone,0.5
daut,mbl,0.32
daut,theviper,0.28
daut,villese,0.63
daut,accm,0.59
daut,daniel,0.66
daut,hera,0.35
daut,liereyy,0.44
daut,sitaux,0.62
daut,tatoh,0.43
daut,valas,0.66
daut,yo,0.29
dogao,jordan_aoe,0.31
dogao,kingstone,0.66
dogao,mbl,0.24
dogao,theviper,0.26
dogao,villese,0.34
dogao,accm,0.6
dogao,daniel,0.81
dogao,hera,0.44
dogao,liereyy,0.37
dogao,sitaux,0.4
dogao,tatoh,0.2
dogao,valas,0.87
dogao,yo,0.24
jordan_aoe,kingstone,0.9
jordan_aoe,mbl,0.57
jordan_aoe,theviper,0.27
jordan_aoe,villese,0.48
jordan_aoe,accm,0.55
jordan_aoe,daniel,0.54
jordan_aoe,hera,0.44
jordan_aoe,liereyy,0.10
jordan_aoe,sitaux,0.4
jordan_aoe,tatoh,0.39
jordan_aoe,valas,0.58
jordan_aoe,yo,0.5
kingstone,mbl,0.37
kingstone,theviper,0.5
kingstone,villese,0.33
kingstone,accm,0.3
kingstone,daniel,0.2
kingstone,hera,0.2
kingstone,liereyy,0.5
kingstone,sitaux,0.5
kingstone,tatoh,0.33
kingstone,valas,0.9
kingstone,yo,0.2
mbl,theviper,0.29
mbl,villese,0.58
mbl,accm,0.47
mbl,daniel,0.8
mbl,hera,0.37
mbl,liereyy,0.26
mbl,sitaux,0.25
mbl,tatoh,0.5
mbl,valas,0.9
mbl,yo,0.5
theviper,villese,0.53
theviper,accm,0.76
theviper,daniel,0.6
theviper,hera,0.56
theviper,liereyy,0.64
theviper,sitaux,0.6
theviper,tatoh,0.66
theviper,valas,0.60
theviper,yo,0.59
villese,accm,0.59
villese,daniel,0.9
villese,hera,0.35
villese,liereyy,0.35
villese,sitaux,0.75
villese,tatoh,0.5
villese,valas,0.83
villese,yo,0.28
accm,daniel,0.66
accm,hera,0.36
accm,liereyy,0.33
accm,sitaux,0.52
accm,tatoh,0.31
accm,valas,0.4
accm,yo,0.38
daniel,hera,0.1
daniel,liereyy,0.16
daniel,sitaux,0.53
daniel,tatoh,0.33
daniel,valas,0.9
daniel,yo,0.25
hera,liereyy,0.5
hera,sitaux,0.75
hera,tatoh,0.57
hera,valas,0.66
hera,yo,0.51
liereyy,sitaux,0.9
liereyy,tatoh,0.56
liereyy,valas,0.9
liereyy,yo,0.51
sitaux,tatoh,0.5
sitaux,valas,0.4
sitaux,yo,0.27
tatoh,valas,0.90
tatoh,yo,0.46
valas,yo,0.5
